id,name,artist,album,duration,uri
"1T7yzIo5cqPjp78AoFIuWG","Don't Wait for Me","Unlike Pluto","Technicolor Daydream","?",""
"5ZH8mycjzgkZQRSmO6o5QA","Wrong Faces Wrong Places","Unlike Pluto","Technicolor Daydream","?",""
"79HqvLVbSKh4EDaZeBUXNg","Candid","Unlike Pluto","Technicolor Daydream","?",""
"4FPZ6Uvme1pfbz58SuqxDC","DEAD","Unknown Brain, Kazhi","Faceless","?",""
"5tVA6TkbaAH9QMITTQRrNv","Free Fallin'","Tom Petty","Full Moon Fever","?",""
"5gys5nzVQIYhgHIfiOJYva","Take It On the Run","REO Speedwagon","Hi Infidelity (30th Anniversary Edition)","?",""
"5WwqdeavrQrbeAMDxGawse","Can't Fight This Feeling","REO Speedwagon","Wheels Are Turnin'","?",""
"0YzMEu5sGNX0JKr9mdBtzd","The Dead Flag Blues","Godspeed You! Black Emperor","F♯ A♯ ∞","?",""
"2bHTmRwczRpLl4ekkX4e8r","Artists vs Tmnt","Epic Rap Battles of History","Epic Rap Battles of History ‎– Season 3","?",""
"4d9GHjgoXm6kyeHQoARFHG","Darth Vader vs Adolf Hitler","Epic Rap Battles of History, Nice Peter, EpicLLOYD","Epic Rap Battles of History Season 1","?",""
"2Eb367lyxqaHt6sLNANyrr","Sin City","Chrishan","Sin City","?",""
"0djSITTfslpfgWydK0Aurj","","Unknown","W Rizz","?",""
"1tinoQpYXzpZDrb0BjK1e7","Wet Hands","C418","Minecraft - Volume Alpha","?",""
"4K0odcECsBvgzv9Lr9z4kd","Aria Math","C418","Minecraft - Volume Beta","?",""
"1OJxI8lIWRqBvouJxW1nzN","Subwoofer Lullaby","C418","Minecraft - Volume Alpha","?",""
"5ro09Fo3hzIgwWUjpdYdcX","Mr. Beast Song","Mrbeast","Mr. Beast Song","?",""
"0FpQoX0JZrb0hgWjiOKPZj","help_urself - boosted","Ezekiel","help_urself (boosted)","?",""
"6Tm0FnR4yjkU1r8lbmrdhl","初音天地開闢神話 (feat. 初音ミク)","cosMo@Bousou-P, Hatsune Miku","初音天地開闢神話","?",""
"3JVsX2h9aZhsbVKtbxeDCU","Faded - Arabic Version","Rachid Aseyakhe","In Arabic Vol4","?",""
"1iEYJfMU7FPEyJlS7OT8RE","Calm Down - Arabic Version","Rachid Aseyakhe","Calm Down (Arabic Version)","?",""
"0sDXw1goMb7ByKwLvKiR6T","Love Nwantiti - Arabic Version","Rachid Aseyakhe","Love Nwantiti (Arabic Version)","?",""
"2fAIfPLrPUTW1AmJRR428Q","Ruby","Kaiser Chiefs","Yours Truly, Angry Mob","?",""
"5Ob1YXCZa5ZR0KS5XO3TUW","FIGHT HOUSE","ZMAJOR","FIGHT HOUSE","?",""
"2lCPDg2EWErPYdO3ItPUdH","MIDNIGHT","PLAYAMANE, Nateki","MIDNIGHT","?",""
"5zmqhtF0SfbVKgBSGymFCK","Babydoll x Perfect Girl","usuck","Babydoll x Perfect Girl","?",""
"6r7ULK6c5CLVvImjTIztl1","Floor 555","XXXTENTACION","?","?",""
"1dlgqM35BpsQLtsXB542jP","All Around The World (La La La)","R3HAB, A Touch Of Class","Let's Get Loud","?",""
"5RByQFt9Mlo8hDYJ921tCv","Around the World / Harder, Better, Faster, Stronger","Daft Punk","Alive 2007","?",""
"5jfYIwLwi868x5kIU5cpaU","DANCE AROUND THE WORLD","Delta Queens","SUPEREUROBEATpresentsINITIALDDSELECTION","?",""
"6DlPa2rrVK3BygXJ48WYo3","RUNNING IN THE 90'S","Max Coveri","SUPEREUROBEATpresentsINITIALDDSELECTION","?",""
"4P9oqOrFDijZRN7TWP4OUZ","SPACE BOY","dave rodgers","SUPEREUROBEATpresentsINITIALDDSELECTION","?",""
"1mSClObliRtgPVT399COQH","Under Pressure","Queen, David Bowie","Hot Space","?",""
"0yJvWbn8xQKiDZ84VN5lQG","De Do Do Do, De Da Da Da","The Police","Zenyatta Mondatta (Remastered 2003)","?",""
"140u2dqlZbpi4ZLgeolKqA","King Nothing","Metallica","Load","?",""
"1MipNbkvrF7Xd2YfDgpR3v","Share It","Hatfield & The North","The Rotters Club","?",""
"0F8JWFitStLlel68uSLhUX","Oh Lonesome Me","Don Gibson","The Essential Don Gibson","?",""
"6rdcgacHGY5eOMunDvhx83","#1","Nelly, Clipse, Postaboy","Da Derrty Versions: The Re-invention","?",""
"5cKrAGU45Zyx21eC8Jh2gO","Carnaval","Santana","Moonflower","?",""
"1TJX5KxBVqwqPPUPH16MFL","Ballbreaker","AC/DC","Ballbreaker","?",""
"2TKtQAy9VKwq3Kh234uE85","Stone Free","Jimi Hendrix","Are You Experienced","?",""
"0wJoRiX5K5BxlqZTolB2LD","Purple Haze","Jimi Hendrix","Are You Experienced","?",""
"4mKlzy0qaK1c2Qw5e2VqpF","Killer Queen","Queen","Greatest Hits","?",""
"1JSTJqkT5qHq8MDJnJbRE1","Every Breath You Take","The Police","Synchronicity (Remastered 2003)","?",""
"2zYzyRzz6pRmhPzyfMEC8s","Highway to Hell","AC/DC","Highway to Hell","?",""
